"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 12 08:13:35 UTC 2026","Tue May 12 08:13:35 UTC 2026","251","","config.VideoGameTests","","config.VideoGameTests","convertJsonToPojo","convertJsonToPojo","Deserializes a JSON response into a VideoGame POJO"
"passed","Tue May 12 08:13:34 UTC 2026","Tue May 12 08:13:34 UTC 2026","212","","config.VideoGameTests","","config.VideoGameTests","updateGame","updateGame","Updates an existing video game by ID"
"passed","Tue May 12 08:13:30 UTC 2026","Tue May 12 08:13:30 UTC 2026","238","","config.VideoGameParameterizedTests","","config.VideoGameParameterizedTests","getSingleGame_ReturnsValidFields[gameId = 4]","getSingleGame_ReturnsValidFields[gameId = 4]","Verifies each valid game ID returns 200 with non-null name and category"
"passed","Tue May 12 08:13:32 UTC 2026","Tue May 12 08:13:33 UTC 2026","369","","config.VideoGameTests","","config.VideoGameTests","getSingleGameVerifyFields","getSingleGameVerifyFields","Verifies key fields on a single game response"
"passed","Tue May 12 08:13:34 UTC 2026","Tue May 12 08:13:35 UTC 2026","237","","config.VideoGameTests","","config.VideoGameTests","assertOnResponseTime","assertOnResponseTime","Asserts that the response time is under 1000 ms"
"passed","Tue May 12 08:13:27 UTC 2026","Tue May 12 08:13:28 UTC 2026","511","","GpathXMLTests","","GpathXMLTests","getAttribute","getAttribute",""
"passed","Tue May 12 08:13:32 UTC 2026","Tue May 12 08:13:32 UTC 2026","205","","config.VideoGameTests","","config.VideoGameTests","testVideoGameSerializationJSON","testVideoGameSerializationJSON","Serializes a VideoGame POJO to JSON and sends it as a POST body"
"passed","Tue May 12 08:13:29 UTC 2026","Tue May 12 08:13:29 UTC 2026","220","","config.VideoGameNegativeParameterizedTests","","config.VideoGameNegativeParameterizedTests","getSingleGame_InvalidId_Returns404[gameId = -1]","getSingleGame_InvalidId_Returns404[gameId = -1]","Verifies that non-existent or invalid game IDs return 404"
"passed","Tue May 12 08:13:33 UTC 2026","Tue May 12 08:13:33 UTC 2026","288","","config.VideoGameTests","","config.VideoGameTests","createNewGameByXML","createNewGameByXML","Creates a new video game using an XML body"
"passed","Tue May 12 08:13:30 UTC 2026","Tue May 12 08:13:30 UTC 2026","241","","config.VideoGameParameterizedTests","","config.VideoGameParameterizedTests","getSingleGame_ReturnsValidFields[gameId = 2]","getSingleGame_ReturnsValidFields[gameId = 2]","Verifies each valid game ID returns 200 with non-null name and category"
"passed","Tue May 12 08:13:37 UTC 2026","Tue May 12 08:13:37 UTC 2026","215","","MyFirstVideoGame","","MyFirstVideoGame","myFirstTest","myFirstTest",""
"passed","Tue May 12 08:13:28 UTC 2026","Tue May 12 08:13:28 UTC 2026","237","","GpathXMLTests","","GpathXMLTests","getFirstGameInList","getFirstGameInList",""
